EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Henry Flink 	20 	0 	2 	0 	2 	16 	980 	49 	0 	10
Pauli Jylhä 	8 	0 	1 	0 	4 	3 	980 	122 	0 	13
Jussi Kärkkäinen 	10 	1 	0 	0 	2 	7 	980 	98 	10 	10
Matti Partanen 	21 	0 	2 	3 	7 	9 	976 	46 	0 	24
Ari Mäntyniemi 	17 	0 	2 	0 	5 	10 	970 	57 	0 	12
Esa Rintala 	15 	1 	1 	1 	5 	7 	965 	64 	7 	20
Reijo Flink 	5 	0 	0 	1 	3 	1 	960 	192 	0 	20
Minna Norismaa 	9 	0 	0 	0 	5 	4 	960 	106 	0 	0
Sari Vesala 	9 	1 	0 	0 	3 	5 	960 	106 	11 	11
Kai Kulhoranta 	12 	0 	0 	0 	7 	5 	950 	79 	0 	0
Ismo Korhonen 	9 	0 	0 	0 	6 	3 	920 	102 	0 	0
Robert Lindgren 	32 	2 	3 	1 	3 	23 	911 	28 	6 	19
Maiju Taipale 	8 	0 	0 	3 	1 	4 	910 	113 	0 	38
Jani Järvenpää 	3 	2 	1 	0 	0 	0 	900 	300 	67 	100
Topi Komppa 	3 	0 	2 	0 	0 	1 	900 	300 	0 	67
Ari Rautio 	9 	0 	2 	0 	5 	2 	900 	100 	0 	22
Mikko Jutila 	7 	1 	0 	0 	2 	4 	890 	127 	14 	14
Toni Nieminen 	13 	0 	1 	2 	2 	8 	890 	68 	0 	23
Jussi Räihälä 	8 	1 	1 	1 	2 	3 	890 	111 	13 	38
Arto Kynnäs 	15 	1 	0 	3 	3 	8 	885 	59 	7 	27
Jari Kupiainen 	24 	1 	0 	1 	6 	16 	870 	36 	4 	8
Hannu Pelkonen 	25 	0 	1 	0 	8 	16 	870 	34 	0 	4
Terno Grönstrand 	10 	0 	1 	2 	2 	5 	850 	85 	0 	30
Jari Ikonen 	4 	1 	0 	0 	1 	2 	850 	212 	25 	25
Matti Heikura 	9 	0 	0 	2 	2 	5 	840 	93 	0 	22
Esa Turunen 	15 	1 	0 	0 	5 	9 	840 	56 	7 	7
Laura Virtapohja 	18 	1 	1 	2 	2 	12 	840 	46 	6 	22
Katri Manninen 	6 	3 	0 	1 	0 	2 	830 	138 	50 	67
Pauli Taiviola 	8 	2 	1 	0 	0 	5 	820 	102 	25 	38
Helena Horila 	9 	0 	0 	1 	4 	4 	810 	90 	0 	11
Henry Lindström 	3 	1 	0 	0 	0 	2 	800 	266 	33 	33
Jukka Mattila 	3 	0 	1 	0 	1 	1 	800 	266 	0 	33
Hannu Nyman 	1 	0 	0 	0 	1 	0 	800 	800 	0 	0
Paula Räsänen 	20 	0 	0 	1 	5 	14 	800 	40 	0 	5
Olli Sarkaranta 	2 	1 	0 	0 	0 	1 	800 	400 	50 	50
Jere Hurme 	19 	0 	0 	1 	6 	12 	794 	41 	0 	5
Jonna Kangas 	8 	0 	1 	1 	3 	3 	790 	98 	0 	25
Saara Leväinen 	5 	0 	1 	1 	2 	1 	790 	158 	0 	40
Heikki Kinnunen 	3 	1 	0 	1 	0 	1 	780 	260 	33 	67
Olli Timonen 	4 	1 	0 	0 	2 	1 	780 	195 	25 	25
Petri Mäkinen 	3 	0 	1 	0 	2 	0 	770 	256 	0 	33
Mikko Peitsaho 	19 	1 	1 	0 	7 	10 	765 	40 	5 	11
Risto Rauhala 	15 	0 	0 	2 	3 	10 	760 	50 	0 	13
Vesa Häkli 	8 	0 	1 	0 	0 	7 	750 	93 	0 	13
Juha Sojakka 	5 	0 	0 	2 	2 	1 	750 	150 	0 	40
Maria Sojakka 	7 	0 	1 	1 	2 	3 	750 	107 	0 	29
Mari Helin-Saarinen 	15 	1 	1 	1 	2 	10 	746 	49 	7 	20
Jouni Myllyharju 	8 	2 	0 	2 	2 	2 	740 	92 	25 	50
Jere Taulio 	3 	0 	1 	1 	0 	1 	740 	246 	0 	67
Pia Eriksson 	1 	1 	0 	0 	0 	0 	720 	720 	100 	100
Jarkko Hannula 	5 	2 	0 	0 	1 	2 	720 	144 	40 	40
Ari Karttunen 	17 	0 	0 	2 	2 	13 	720 	42 	0 	12
Petri Korpela 	7 	0 	0 	1 	4 	2 	720 	102 	0 	14
Hannu-Pekka Rosilainen 	7 	0 	0 	0 	5 	2 	720 	102 	0 	0
Niina Rasku 	5 	0 	1 	0 	3 	1 	710 	142 	0 	20
Mervi Illikainen 	4 	0 	0 	1 	1 	2 	700 	175 	0 	25
Lasse Kantokoski 	20 	0 	1 	2 	4 	13 	700 	35 	0 	15
Elina Korhonen 	4 	0 	1 	0 	2 	1 	700 	175 	0 	25
Timo Korvenheimo 	1 	1 	0 	0 	0 	0 	700 	700 	100 	100
Antti Pöytälaakso 	4 	0 	1 	1 	0 	2 	700 	175 	0 	50
Minna Rampa 	3 	0 	1 	1 	1 	0 	700 	233 	0 	67
Miia Salminen 	2 	1 	0 	0 	1 	0 	700 	350 	50 	50
Satu Nissinen 	13 	0 	0 	1 	4 	8 	690 	53 	0 	8
Reino Hurme 	3 	0 	0 	1 	2 	0 	680 	226 	0 	33
Mikko Karen 	23 	0 	0 	1 	4 	18 	680 	29 	0 	4
Paula Keränen 	6 	1 	1 	1 	2 	1 	680 	113 	17 	50
Heikki Laine 	23 	1 	0 	0 	4 	18 	680 	29 	4 	4
Juha Ranta 	10 	0 	0 	0 	4 	6 	680 	68 	0 	0
Reijo Suomalainen 	6 	0 	0 	0 	2 	4 	680 	113 	0 	0
Jonne Väkeväinen 	7 	1 	0 	0 	1 	5 	680 	97 	14 	14
Esa Kaveri 	5 	0 	2 	0 	2 	1 	670 	134 	0 	40
Markku Sakala 	11 	0 	0 	2 	4 	5 	662 	60 	0 	18
Simo Ikonen 	9 	0 	0 	2 	1 	6 	660 	73 	0 	22
Eini Nevalainen 	11 	0 	0 	2 	2 	7 	660 	60 	0 	18
Tapio Koskinen 	10 	0 	0 	2 	2 	6 	655 	65 	0 	20
Teuvo Rantanen 	10 	2 	3 	1 	2 	2 	655 	65 	20 	60
Monika Törmälä 	11 	0 	0 	5 	2 	4 	651 	59 	0 	45
Kim Keinänen 	10 	0 	1 	0 	3 	6 	650 	65 	0 	10
Ilmari Kettunen 	5 	0 	1 	0 	2 	2 	650 	130 	0 	20
Jenna Rissanen 	6 	1 	0 	1 	1 	3 	650 	108 	17 	33
Markku Westerlund 	22 	0 	0 	1 	5 	16 	650 	29 	0 	5
Veli Vähäkuopus 	10 	2 	1 	0 	3 	4 	640 	64 	20 	30
Petteri Korteniemi 	6 	0 	0 	0 	2 	4 	636 	106 	0 	0
Tero Lepistö 	16 	0 	1 	0 	6 	9 	630 	39 	0 	6
Aki Antti-Roiko 	8 	0 	0 	1 	3 	4 	610 	76 	0 	13
Jyrki Jauhiainen 	16 	0 	0 	0 	5 	11 	610 	38 	0 	0
Minna Pekonen 	9 	0 	0 	0 	3 	6 	610 	67 	0 	0
Sauli Hautanen 	5 	0 	0 	1 	1 	3 	600 	120 	0 	20
Risto Kilpeläinen 	4 	0 	1 	0 	1 	2 	600 	150 	0 	25
Veikko Kotiranta 	5 	0 	0 	0 	3 	2 	600 	120 	0 	0
Ilkka Salonen 	5 	0 	0 	2 	0 	3 	600 	120 	0 	40
Jari Toivonen 	5 	0 	0 	0 	1 	4 	600 	120 	0 	0
Jorma Turta 	5 	0 	1 	0 	1 	3 	600 	120 	0 	20
Jarmo Virtanen 	20 	0 	1 	0 	3 	16 	600 	30 	0 	5
Olli Innanen 	8 	0 	0 	2 	2 	4 	590 	73 	0 	25
Aappo Kilvensalmi 	10 	0 	2 	1 	1 	6 	590 	59 	0 	30
Antti Ristola 	7 	1 	0 	1 	1 	4 	590 	84 	14 	29
Esa Kolppanen 	5 	0 	1 	0 	2 	2 	580 	116 	0 	20
Sami Nummi 	6 	1 	0 	0 	1 	4 	580 	96 	17 	17
Ari Jyväsjärvi 	4 	1 	1 	0 	1 	1 	570 	142 	25 	50
Juhani Virkkunen 	11 	0 	0 	2 	2 	7 	570 	51 	0 	18
Raul Virolainen 	7 	1 	1 	0 	4 	1 	564 	80 	14 	29
Mikko S Laitinen 	20 	0 	1 	2 	5 	12 	560 	28 	0 	15
Heidi Laukkanen 	12 	0 	1 	0 	1 	10 	560 	46 	0 	8
Ari-Pekka Mäennenä 	5 	0 	1 	1 	1 	2 	560 	112 	0 	40
Satu Antinkaapo 	4 	0 	1 	0 	1 	2 	550 	137 	0 	25
