EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Anssi Penttilä 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Martina Perklen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Marko Pihlajamäki 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Kimmo Pitkäniitty 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Soila Polso 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kari Pouttu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Juha Puhtimäki 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Raineri Puikkonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Marianne Punkari 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Hannele Purontakanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka Puurunen 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Juha Pyhältö 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Simo Pöllänen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pasi Pörsti 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jaakko Pöyskö 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Sini Rauhala 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mika Rautiainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tapio Rautiainen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Tiina Reijonen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Atomi Rekilä 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pasi Riekkinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Ville Ritala 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Anni Ritamäki 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Charlotta Roine 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tapio Romppainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Juha Rontu 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Sanna Ropponen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka Ruisaho 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pia Ruotsalainen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tea Ruotsalainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pekka Ruusunen 	8 	0 	0 	0 	0 	8 	0 	0 	0 	0
Jenna Ryhänen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Anni Ryynänen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Anne-Mari Räsänen 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0
Jorma Räsänen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Timo Saarikko 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Jyrki Saarinen 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Raija Saarinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Teemu Sadinmaa 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jari Sahalahti 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Mikko Salmela 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Roope Salmela 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jari Salmi 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Johanna Salmi 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Jussi Salminen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Aleksi Salojensaari 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Max Sandberg 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jussi Santala 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Vesa Santanen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jouni Seppäläinen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Katja Siikavirta 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mika Siirilä 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Aki Sikkilä 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Jani Simontaival 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Erik Skutnabb 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Erkki Soininen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kauko Sokkanen 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Hannu Suoniemi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Paavo Sutinen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Heikki Syrjä 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0
Heidi Taipale 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Hannu Taivassalo 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Timo Takala 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Antti Talvitie 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Heikki Tanner 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Milla Tarkka 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jukka Teirikangas 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Matti Tiiro 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Tero Tikkalahti 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Olli-Pekka Toivanen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Harri Tollola 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Reino Toppinen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Piia Torkkeli 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Reeta-Kaisa Tuisku 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kauko Tujunen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pekka Tuomaala 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Nicolina Tuomi 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Pauli Tyrisevä 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0
Henry Törmä 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Jussi Uosukainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Ville Uosukainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Esa Vaahtera 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Annika Vainio 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Jarkko Vainio 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jouni Vainio 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Ilpo Vartiainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Kaarlo Viisterä 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Tiia Viljanen 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Tuomo Vimpari 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jaakko Vinkka 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Teemu Virkkula 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Marko Vironen 	9 	0 	0 	0 	0 	9 	0 	0 	0 	0
Ari Virtaniemi 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Minna Vitri 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Elina Voutilainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Jaana Voutilainen 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Maikki Vuorela 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Heidi Vuori 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Aimo Vuorisalo 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Mikko Väisänen 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Roni Waarna 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Juha Wikman 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Kari Ylipahkala 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Pekka A Ylitalo 	7 	0 	0 	0 	0 	7 	0 	0 	0 	0
Toni Ylitalo 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Teija Ylivaara 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
Aarne Yrjänheikki 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0
Joni Zitron 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0
Mika Åkerlund 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0
